ASSET_ID,ASSET_NAME,MODEL,QUANTITY,PRICE,TOTAL_PRICE,REG_DATE
20,computer,dell,14,2100,56272,2017-03-24
21,computer,dell,14,2513,56272,2017-03-24
22,computer,dell,14,1542,56272,2017-03-24
23,rj 45,,15,10,0,2017-03-24
24,rj 45,,2,15,0,2017-03-24
25,computer,dell,14,1200,56272,2017-03-25
26,abc,true,2,1200,2400,2017-03-27
27,door,seregela,2,25100,50200,2017-03-27
28,computer,dell,14,90000,56272,2017-03-29
29,frr,ghvh,5,1200,6000,2017-03-29
30,ftyghujil,fghgj,5,120,600,2017-03-29
31,ftgyjk,hfgj,5,210,1050,2017-03-29
32,whiteboard,board,5,1500,7500,2017-05-01
33,computer,dell,14,1500,56272,2017-05-01
34,computer,dell,14,5000,56272,2017-05-01
35,computer,dell,14,500,56272,2017-05-01
36,computer,dell,14,1568,56272,2017-05-01
