ASSET_ID,ASSET_NAME,MODEL,SERIAL,QUANTITY,PRICE,TOTAL_PRICE,REG_DATE
20,computer,dell,,0,1200,0,2017-06-10
21,computer,dell,,6,1200,7200,2017-06-10
22,computer,dell,,7,1200,3650,2017-06-10
23,rj 45,,,15,10,0,2017-03-24
24,rj 45,,,2,15,0,2017-03-24
25,computer,dell,,7,1200,3650,2017-06-10
26,abc,true,,2,1200,2400,2017-03-27
27,door,seregela,,2,25100,50200,2017-03-27
28,computer,dell,,7,1200,3650,2017-06-10
29,frr,ghvh,,5,1200,6000,2017-03-29
30,ftyghujil,fghgj,,5,120,600,2017-03-29
31,ftgyjk,hfgj,,5,210,1050,2017-03-29
32,whiteboard,board,,5,1500,7500,2017-05-01
33,computer,dell,,7,1200,3650,2017-06-10
34,computer,dell,,7,1200,3650,2017-06-10
35,computer,dell,,7,1200,3650,2017-06-10
36,computer,dell,,7,1200,3650,2017-06-10
37,computer,dell,,7,1200,3650,2017-06-10
38,computer,dell,,7,1200,3650,2017-06-10
39,computer,dell,,7,1200,3650,2017-06-10
40,computer,dell,,7,1200,3650,2017-06-10
41,computer,dell,,7,1200,3650,2017-06-10
42,computer,dell,,7,1200,3650,2017-06-10
43,computer,dell,,7,1200,3650,2017-06-10
44,window,big,,11,1100,12100,2017-06-02
45,window,big,,11,1100,12100,2017-06-02
46,rj,,,5,25,125,2017-06-02
47, ᜞ማ,ሆራይዘᚕ,,2,4500,9000,2017-06-07
48,computer,dell,,7,1200,3650,2017-06-10
